,geometry,name,opening_hours,shop,wheelchair,check_date,addr:city,addr:housenumber,addr:postcode,addr:street,operator,payment:cash,payment:credit_cards,payment:debit_cards,addr:country,source,toilets:wheelchair,brand,contact:facebook,contact:phone,contact:website,brand:wikidata,changing_table,toilets,building,website,amenity,cuisine,access,addr:place,addr:province,contact:email,dog,fee,internet_access,internet_access:fee,motorhome,organic,power_supply,power_supply:maxcurrent,reservation,sanitary_dump_station,socket:cee_blue,tents,tourism,brand:wikipedia,city,description,phone,email,check_date:opening_hours,payment:mastercard,payment:visa,branch,name:it,operator:wikidata,operator:wikipedia,alt_name,ref,ref:vatin,level,kids_area,toilets:access,toilets:number,smoking,ele,atm,air_conditioning,diet:halal,diet:kosher,name:signed,currency:EUR,addr:suburb,brand:en,brand:ja,name:en,name:ja,delivery:description:it,wikimedia_commons,contact:instagram,name:es,noname,entrance,opening_hours:signed,payment:cards,facebook,payment:coins,payment:bancomat,clothes,self_service,contact:mobile,addr:state,building:levels,old_name,fixme,start_date,note,roof:levels,roof:shape,building:material,addr:unit,stroller,not:brand:wikidata,fax,addr:hamlet,payment:diners_club,payment:maestro,payment:v_pay,payment:visa_electron,drive_through,building:part,indoor_seating,outdoor_seating,building:use,contact:fax,building:colour,diet:gluten_free,diet:non-vegetarian,diet:vegan,diet:vegetarian,roof:colour,type,roof:material,survey:date,fuel:GTL_diesel,fuel:diesel,fuel:octane_100,fuel:octane_95,ref:mise
349,"POLYGON ((12.6368491 45.5092376, 12.6368875 45.5092059, 12.6369539 45.5091624, 12.6369242 45.5091523, 12.6369452 45.5091368, 12.6369873 45.5091514, 12.6370037 45.5091356, 12.6369361 45.5091133, 12.6368987 45.5091422, 12.6368904 45.5091393, 12.6368719 45.5091329, 12.6371265 45.5088576, 12.6361138 45.508409, 12.6360701 45.5084421, 12.6360183 45.5083898, 12.6357793 45.508517, 12.635736 45.5084725, 12.6360571 45.508302, 12.6357238 45.5075261, 12.6355939 45.5075542, 12.6355735 45.5075064, 12.6355616 45.5074784, 12.635467 45.5075072, 12.635455 45.5074586, 12.63545 45.5074382, 12.6359209 45.5073908, 12.6360079 45.5073736, 12.6362059 45.5072823, 12.6362304 45.5072399, 12.6364057 45.5069372, 12.6364162 45.5069214, 12.6363833 45.5069087, 12.6363873 45.5069013, 12.6363934 45.5068899, 12.6364781 45.5069023, 12.6364932 45.506878, 12.6365008 45.5068385, 12.6365088 45.5067964, 12.6364792 45.5064871, 12.6357643 45.5062738, 12.6356196 45.5062911, 12.6356432 45.5065052, 12.6356223 45.506503, 12.6355714 45.5065024, 12.6355017 45.506513, 12.6354076 45.5063099, 12.6351791 45.506335, 12.6349494 45.5064446, 12.6349734 45.5064625, 12.634943 45.5064795, 12.6350505 45.5065505, 12.6350263 45.5065681, 12.6350663 45.5065914, 12.6350407 45.5066107, 12.6350593 45.506627, 12.6350911 45.5066082, 12.6351451 45.5066452, 12.6351623 45.5066312, 12.6351875 45.5066469, 12.6352032 45.5067004, 12.6351973 45.506711, 12.6350691 45.5067319, 12.6350845 45.5067865, 12.6351294 45.5067823, 12.635161 45.5068822, 12.6351778 45.5068863, 12.635169 45.5069295, 12.635147 45.5069321, 12.6351498 45.5069528, 12.6351676 45.5069508, 12.6351651 45.5069885, 12.6351667 45.5070385, 12.6351842 45.5070991, 12.635203 45.5071569, 12.635251 45.5071476, 12.635289 45.5071406, 12.6353162 45.5072057, 12.6352598 45.5072146, 12.6352841 45.5072707, 12.6353304 45.5072639, 12.6353323 45.5072745, 12.6353274 45.5073243, 12.6353211 45.5073767, 12.6352972 45.5074381, 12.6352751 45.5074738, 12.6352335 45.5075246, 12.6352104 45.5075521, 12.6351965 45.5075746, 12.6351913 45.5075942, 12.6351839 45.5076121, 12.635187 45.5076388, 12.6351867 45.5076515, 12.6351928 45.5076758, 12.6351961 45.5076888, 12.6351997 45.5077095, 12.6351975 45.5077206, 12.6351959 45.5077329, 12.6351932 45.5077498, 12.6351859 45.5077683, 12.6351807 45.5077807, 12.6351705 45.5077956, 12.6351621 45.5078049, 12.6351487 45.5078148, 12.6351684 45.5078473, 12.6351709 45.5078652, 12.6351744 45.5078889, 12.6351837 45.5079075, 12.6351958 45.5079219, 12.6352044 45.5079337, 12.6352117 45.507942, 12.6352243 45.5079546, 12.6352345 45.5079649, 12.6352501 45.5079811, 12.6352604 45.5079921, 12.6352745 45.5080108, 12.6352806 45.5080204, 12.6352901 45.508037, 12.6353035 45.5080602, 12.6353106 45.5080746, 12.6353206 45.5080981, 12.6353281 45.5081249, 12.6353311 45.5081349, 12.6353338 45.5081522, 12.6353374 45.5081599, 12.6353427 45.5081714, 12.6353536 45.5081869, 12.6353674 45.5082071, 12.6353789 45.5082167, 12.6353941 45.5082317, 12.6354055 45.5082418, 12.6354216 45.5082574, 12.6354467 45.5082784, 12.6354535 45.5082863, 12.6354696 45.5083071, 12.6354857 45.5083313, 12.6354902 45.5083432, 12.6355004 45.5083677, 12.6355137 45.5083951, 12.6355203 45.5084069, 12.6355265 45.508419, 12.6355321 45.5084328, 12.6355373 45.5084561, 12.635537 45.5084857, 12.6355385 45.5085184, 12.6355351 45.5085407, 12.6355292 45.508565, 12.6355295 45.5085785, 12.6355297 45.5086039, 12.6355301 45.5086172, 12.6355381 45.5086386, 12.6355507 45.5086645, 12.6355704 45.5086903, 12.635579 45.5087007, 12.6356034 45.5087206, 12.6356145 45.5087302, 12.6356412 45.5087461, 12.6356709 45.50876, 12.6356899 45.5087667, 12.6357341 45.5087805, 12.6357695 45.5087915, 12.6358237 45.5088092, 12.6358692 45.5088215, 12.6359405 45.5088441, 12.6360203 45.5088661, 12.6360451 45.5088763, 12.6361015 45.5089069, 12.6361273 45.5089221, 12.6361886 45.5089431, 12.6362144 45.5089527, 12.6362594 45.5089782, 12.6362878 45.5089935, 12.6363468 45.5090168, 12.6364031 45.5090362, 12.6364695 45.5090731, 12.6364972 45.5090831, 12.6365473 45.5091015, 12.6365752 45.5091158, 12.6366058 45.5091312, 12.6366359 45.5091483, 12.6366712 45.5091619, 12.6367097 45.5091778, 12.6367354 45.5091866, 12.6367532 45.5091972, 12.636778 45.5092086, 12.6368061 45.5092245, 12.6368301 45.5092387, 12.6368491 45.5092376), (12.6358318 45.5066092, 12.6358365 45.5066044, 12.635845 45.5065974, 12.6358571 45.5065888, 12.635866 45.5065845, 12.6358887 45.5065769, 12.6359013 45.5065742, 12.6359248 45.5065726, 12.6359318 45.5065754, 12.635934 45.5065832, 12.6359301 45.5065901, 12.635917 45.5066016, 12.6359063 45.5066084, 12.6358893 45.5066178, 12.6358757 45.5066223, 12.6358621 45.5066262, 12.6358516 45.5066281, 12.6358406 45.5066286, 12.6358335 45.5066268, 12.6358308 45.5066229, 12.6358286 45.5066178, 12.6358318 45.5066092), (12.6356007 45.5066075, 12.6356071 45.5066037, 12.6356142 45.5066013, 12.6356271 45.5065967, 12.6356348 45.5065953, 12.6356496 45.5065934, 12.6356626 45.5065937, 12.635672 45.5065937, 12.6356845 45.5065951, 12.6356972 45.5065968, 12.6357092 45.5065999, 12.6357152 45.5066052, 12.6357187 45.506611, 12.6357185 45.5066178, 12.635716 45.5066224, 12.6357105 45.5066282, 12.6357041 45.5066329, 12.6356888 45.5066373, 12.6356773 45.506639, 12.635662 45.5066411, 12.6356361 45.506642, 12.6356213 45.5066397, 12.6356099 45.5066373, 12.6356004 45.506634, 12.6355931 45.5066304, 12.6355885 45.5066248, 12.6355881 45.5066202, 12.6355909 45.5066154, 12.6355948 45.5066116, 12.6356007 45.5066075), (12.6359814 45.5067164, 12.6359818 45.5067096, 12.6359926 45.5067038, 12.6360004 45.5067007, 12.6360102 45.5066986, 12.6360224 45.5066968, 12.6360371 45.5066952, 12.6360523 45.5066952, 12.6360695 45.5066969, 12.6360885 45.5067002, 12.6360957 45.5067033, 12.6361001 45.5067079, 12.6361017 45.5067137, 12.6360992 45.5067207, 12.6360913 45.506726, 12.6360774 45.5067294, 12.6360636 45.5067314, 12.6360484 45.5067321, 12.6360321 45.5067321, 12.6360185 45.506731, 12.636002 45.5067285, 12.6359915 45.5067253, 12.6359833 45.5067212, 12.6359814 45.5067164), (12.6354384 45.506715, 12.6354522 45.5067058, 12.6354648 45.5067012, 12.6354792 45.506696, 12.6354885 45.5066944, 12.6355011 45.506692, 12.6355166 45.5066918, 12.6355261 45.506694, 12.6355357 45.5066997, 12.6355395 45.506708, 12.6355387 45.5067141, 12.6355355 45.5067194, 12.6355261 45.5067265, 12.6355177 45.5067319, 12.6355055 45.5067371, 12.6354959 45.5067416, 12.6354738 45.5067475, 12.6354626 45.506749, 12.6354465 45.5067501, 12.635436 45.5067477, 12.6354293 45.5067449, 12.6354261 45.5067401, 12.6354248 45.5067352, 12.6354254 45.50673, 12.6354296 45.506725, 12.6354384 45.506715), (12.635997 45.5068905, 12.6359906 45.5068818, 12.6359892 45.5068727, 12.6359895 45.506865, 12.6359946 45.5068603, 12.6359992 45.5068585, 12.6360045 45.5068578, 12.6360128 45.5068594, 12.6360219 45.5068627, 12.6360289 45.5068677, 12.6360377 45.5068754, 12.6360459 45.5068823, 12.636054 45.506893, 12.6360596 45.5069023, 12.6360639 45.5069096, 12.6360647 45.506917, 12.6360632 45.5069207, 12.6360603 45.5069227, 12.6360509 45.5069227, 12.6360395 45.506919, 12.6360334 45.5069164, 12.6360254 45.5069128, 12.636015 45.5069065, 12.636006 45.5069004, 12.635997 45.5068905), (12.6357611 45.5069553, 12.6357738 45.5069538, 12.6357857 45.5069545, 12.6358056 45.5069558, 12.635817 45.5069573, 12.6358239 45.5069593, 12.6358284 45.5069624, 12.6358273 45.5069656, 12.6358222 45.5069688, 12.6358151 45.5069711, 12.6358006 45.5069732, 12.6357852 45.5069737, 12.635767 45.5069738, 12.6357493 45.5069712, 12.6357392 45.5069682, 12.6357385 45.5069648, 12.63574 45.5069622, 12.6357445 45.5069593, 12.6357522 45.5069568, 12.6357611 45.5069553), (12.635821 45.5070495, 12.6358238 45.5070452, 12.6358339 45.5070413, 12.6358434 45.507041, 12.6358553 45.5070429, 12.6358717 45.5070485, 12.6358839 45.5070562, 12.6358965 45.5070634, 12.6359051 45.5070713, 12.6359118 45.5070779, 12.6359164 45.5070843, 12.6359198 45.507092, 12.6359188 45.5070974, 12.6359155 45.5071018, 12.6359097 45.5071067, 12.6358997 45.5071105, 12.6358878 45.5071108, 12.6358754 45.5071073, 12.6358666 45.5071015, 12.6358541 45.5070917, 12.63584 45.5070789, 12.6358333 45.507073, 12.6358258 45.5070643, 12.6358205 45.5070543, 12.635821 45.5070495))",Laguna Shopping,Mo-Su 08:30-20:00,mall,designated,,,,,,,,,,,,,,,,,,no,yes,commercial,https://www.lagunashopping.it/,,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0,flat,concrete,,,,,,,,,,,,,,commercial,,,,,,,,multipolygon,concrete,,,,,,
350,"POLYGON ((12.6368453 45.5091616, 12.6359246 45.5087475, 12.6360121 45.50865, 12.6359252 45.5086097, 12.6361138 45.508409, 12.6371265 45.5088576, 12.6368453 45.5091616))",Famila superstore,Mo-Su 08:00-21:00,supermarket,designated,,Jesolo,8,30016,Via Mons. Giovanni Marcato,,,,,IT,,,,,,,,,,,https://promo.unicomm.it/punti-vendita/famila-di-jesolo,,,,,Venezia,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,+39 0421 381956,,2024-06-21,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lido di Jesolo,,,,,,supermarket,,,,,,,,,,,,,,,,,,
351,"POLYGON ((12.6060167 45.489677, 12.6060752 45.4897044, 12.6061211 45.4896561, 12.6060626 45.4896287, 12.6060167 45.489677))",Chiosco Veliero,,kiosk,yes,,Jesolo,1bis,30016,Via Claudio Monteverdi,,,,,,,,,,,,,,,retail,https://www.chioscoveliero.it/,,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,2024-08-11,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,no,,,,,,,,,1,,,,,0,pyramidal,,,,,,Lido di Jesolo,,,,,,,no,yes,,,,,,,,,,,,,,,,
352,"POLYGON ((12.6443295 45.5390688, 12.6441656 45.5392772, 12.6442622 45.5394082, 12.6442767 45.5394267, 12.6443223 45.5395988, 12.6444188 45.5396355, 12.6443879 45.539678, 12.6445186 45.5397297, 12.644555 45.539687, 12.6445882 45.5397029, 12.6449122 45.5392905, 12.6443295 45.5390688))",Prix,Mo-Sa 08:30-20:00; Su 08:30-13:00,supermarket,yes,,Jesolo,7,30016,Piazza John Fitzgerald Kennedy,,,,,,,,Prix,,,,Q61994819,,,retail,https://www.prixquality.com/punti-vendita/jesolo-707/,,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,"POLYGON ((12.6347621 45.5389939, 12.6351883 45.5389566, 12.6351003 45.5384662, 12.634971 45.5384764, 12.6348235 45.5384917, 12.6348351 45.5385923, 12.6348022 45.5385958, 12.6347044 45.5386026, 12.6347621 45.5389939))",Super Iper Visotto,Mo-Sa 08:30-20:00; Su 08:30-13:00,supermarket,yes,2024-09-02,Jesolo,1,30016,Via Fernando Ortiz,,yes,yes,yes,,local knowledge,,,,,,,,,,https://www.supermercativisotto.it/,,,,,,,,,no,,,,,,,,,,,,"Jesolo, Veneto, Italy",,+39 0421 350958,,2024-08-30,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,+39 0421 350797,,,,,,,yes,,,retail,,,,,,,,,,,,,,,
354,"POLYGON ((12.640537 45.5289339, 12.6405224 45.5288845, 12.6405001 45.5288182, 12.6403686 45.5284278, 12.6403261 45.5283002, 12.640603 45.528257, 12.6405777 45.5281817, 12.6407646 45.5281505, 12.6407934 45.5282221, 12.6408512 45.5282135, 12.6408877 45.5282751, 12.6410358 45.5282509, 12.6410418 45.5282682, 12.6410807 45.5283811, 12.6412227 45.5287927, 12.6412347 45.528837, 12.6411369 45.5288521, 12.6411248 45.5288092, 12.640724 45.5288719, 12.6406895 45.5288786, 12.6407016 45.5289146, 12.640537 45.5289339))",Coop Superstore,Mo-Sa 08:30-20:30; Su 08:30-20:00,supermarket,yes,2024-06-25,Jesolo,1,,Via Reghena,Coop Alleanza 3.0,yes,yes,yes,,,,Coop,,+39 0421 355111,https://www.coopalleanza3-0.it/,Q1129774,,yes,supermarket,,,,,,Venezia,,,,no,,,yes,,,,,,,,it:Coop Italia,"Jesolo, Veneto, Italy",,,,,,,,,Q21189584,it:Coop Alleanza 3.0,,,,,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italia,1,,,,,,flat,,,,,,,,,,,,,,,,+39 0421 355180,,,,,,,,,,,,,,
355,"POLYGON ((12.5959916 45.4962224, 12.5961592 45.4959565, 12.596811 45.4961584, 12.5966434 45.4964243, 12.5959916 45.4962224))",Alì,,supermarket,yes,,,,,,,,,,,,designated,,,,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,"POLYGON ((12.6377433 45.5163161, 12.6377531 45.5161416, 12.6376637 45.5161395, 12.6376501 45.516093, 12.6376867 45.516085, 12.6377301 45.5160756, 12.6377401 45.5159179, 12.6381786 45.5159306, 12.6381502 45.5162979, 12.6381886 45.5163004, 12.6381879 45.5163773, 12.6380643 45.5163712, 12.6380674 45.5163435, 12.6378179 45.5163372, 12.6378189 45.5163193, 12.6377433 45.5163161))",ALDI,Mo-Su 08:00-20:30,supermarket,yes,2024-07-20,Jesolo,105,30016,Via Goffredo Mameli,Aldi,yes,yes,,,,yes,ALDI,,,,Q41171672,,yes,supermarket,https://www.aldi.it/,,,,,,,,,no,,,yes,,,,,,,,en:Aldi,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,yes,,,,,1,,,2020-10-29,,,flat,,,yes,,,,,,,,,,,,,,white,yes,yes,yes,yes,white,,,,,,,,
357,"POLYGON ((12.6231114 45.5394729, 12.6231116 45.5395082, 12.6232081 45.539619, 12.6232329 45.5396473, 12.6232593 45.5396767, 12.6236101 45.540117, 12.6236245 45.5401373, 12.6237197 45.5402626, 12.6252761 45.5404123, 12.625334 45.5404179, 12.6254034 45.5403921, 12.6254701 45.5404594, 12.6255058 45.5404959, 12.6263534 45.5401411, 12.626339 45.5401257, 12.6262546 45.5400158, 12.6263242 45.5399862, 12.6264143 45.5400961, 12.6264307 45.5401146, 12.626793 45.5399653, 12.6267825 45.5399513, 12.6261268 45.539137, 12.6261112 45.5391434, 12.6260899 45.5391522, 12.6260849 45.539146, 12.6260734 45.5391325, 12.626094 45.5391241, 12.6261107 45.5391175, 12.6257865 45.5387152, 12.6257725 45.5387206, 12.6257479 45.5387301, 12.6257413 45.5387219, 12.6257345 45.5387147, 12.6257597 45.5387045, 12.6257743 45.5386986, 12.6255498 45.538431, 12.6255153 45.538415, 12.6254017 45.5382831, 12.6251387 45.5383411, 12.6251219 45.538348, 12.6249252 45.5384329, 12.624906 45.538441, 12.6247027 45.5385422, 12.6246882 45.5385499, 12.6244883 45.5386657, 12.6244697 45.5386732, 12.6241908 45.5388329, 12.6241727 45.5388448, 12.6240497 45.5389226, 12.6239127 45.5390036, 12.6237043 45.5391303, 12.6233927 45.5393287, 12.6231114 45.5394729))",I Giardini Di Jesolo,,mall,yes,,Jesolo,47-48,30016,Via Piave Vecchio,,,,,,,,,,,,,yes,yes,,https://www.igiardinidijesolo.com/,,,,,Venezia,,,,no,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,info@igiardinidijesolo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,"POLYGON ((12.7053886 45.5385743, 12.70532 45.5382246, 12.7053581 45.5382085, 12.705337 45.5381233, 12.7053445 45.5380778, 12.7056662 45.5380478, 12.7056555 45.5381062, 12.7059048 45.5381002, 12.7059373 45.5382335, 12.7060252 45.5382433, 12.706056 45.5383838, 12.7059766 45.5384035, 12.7059967 45.5385345, 12.7054676 45.538586, 12.7053886 45.5385743))",Azienda Agricola Biodinamica San Michele,,farm,,,Jesolo,,30016,Via Cristoforo Colombo71,,,,,,,,,,,,,,,commercial,,,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,"POLYGON ((12.637526 45.5683684, 12.6375742 45.5683328, 12.6376004 45.5683502, 12.6375521 45.5683858, 12.637526 45.5683684))",Chiosco Oggian,,farm,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,POINT (12.296059 45.1990443),Maxi,,supermarket,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,POINT (12.2940458 45.2042081),Pam,,supermarket,yes,,,,,,,,,,,,,Pam,,,,Q105615038,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,POINT (12.277459 45.1988634),Eurospar,,supermarket,yes,,,,,,,,,,,,,Eurospar,,,,Q12309283,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,POINT (12.2743156 45.2108031),EuroSpin,,supermarket,yes,,,,,,,,,,,,,EuroSpin,,,,Q1374674,,,,https://www.eurospin.it/punti-vendita/chioggia/,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,POINT (12.2846568 45.1964705),MD,,supermarket,yes,,,,,,,,,,,,,MD,,,,Q3841263,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,POINT (12.2864306 45.2004957),Lidl,,supermarket,,,,,,,,,,,,,,Lidl,,,,Q151954,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,POINT (12.2887439 45.2121117),,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,POINT (12.2755562 45.2169369),In's Mercato,,supermarket,yes,,,,,,,,,,,,,In's Mercato,,,,Q105615834,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,POINT (12.2876103 45.1967765),MaxiFrutta,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,POINT (12.2966799 45.2104229),Spaccio Europa,,convenience,,,,,,,Franza Maurizio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,+39 041 4965799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,POINT (12.3230893 45.1708479),A&O,,supermarket,yes,,Chioggia,60,30015,Via delle Nazioni Unite,,,,,IT,,,A&O,,,,,,,,,,,,Isola Verde,VE,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,POINT (12.3203012 45.1747812),Da Mario,,convenience,,,Chioggia,,30015,Via Atlantico,,,,,IT,,,,,,,,,,,,,,,Isola Verde,VE,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,POINT (12.3196522 45.1747139),Moretto Market,,convenience,,,Chioggia,,30015,Via Atlantico,,,,,IT,,,,,,,,,,,,,,,Isola Verde,VE,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,POINT (12.2779019 45.1886892),Ipercoop,Oct-Apr: Mo-Sa 08:30-20:30; Oct-Apr: Su 09:30-20:00; May-Sep: Mo-Su 08:30-21:00,supermarket,yes,,,,,,Coop Alleanza 3.0,,,,,,,Ipercoop,,,,Q6064990,,,,,,,,,,,,,,,,,,,,,,,,it:Coop Italia,"Chioggia, Veneto, Italy",,+39 041 554 5111,,,,,,,Q21189584,it:Coop Alleanza 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-02,,,,,
374,POINT (12.3097039 45.1818381),Camping Oasi,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,POINT (12.2881648 45.196709),Eurospar,,supermarket,,,,169c,,Viele Mediterraneo,,,,,,,,Eurospar,,,,Q12309283,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,POINT (12.2948102 45.2131371),Tabacchi,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,POINT (12.2868747 45.2004287),Lidl,Mo-Sa 08:00-21:00; Su 08:00-20:30,supermarket,yes,,,,,,,,,,,,,Lidl,,,,Q151954,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,POINT (12.2934736 45.21504),Nuovi Sapori da Laura e Elena,"Mo-Sa 08:00-13:30, 16:30-20:30; Su 08:00-13:30, 17:00-20:30",deli,,,,35a,,Viale Veneto,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,"Chioggia, Veneto, Italy","Italian and regional products, partially organic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,POINT (12.2784535 45.2192539),Coop,,supermarket,yes,,,,,,Coop Alleanza 3.0,,,,,,designated,Coop,,,,Q1129774,,no,,,,,,,,,,,,,,yes,,,,,,,,it:Coop Italia,"Chioggia, Veneto, Italy",,,,,,,,inCoop,Q21189584,it:Coop Alleanza 3.0,,,,0,no,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,POINT (12.3256202 45.1627258),,,supermarket,,,,,,,Villagio Isamar,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chioggia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
