,geometry,name,shop,check_date,opening_hours,wheelchair,name:de,name:it,alt_name,addr:housenumber,addr:street,phone,cafe,outdoor_seating,level,amenity,building,city,addr:postcode,email,addr:place,noname,addr:city,facebook,website,name:en,delivery:description:it,addr:country,cuisine,source,contact:mobile,organic,payment:credit_cards,payment:debit_cards,operator,ref:vatin,contact:phone,description,diet:kosher,diet:vegan,payment:online,payment:mastercard,payment:visa,start_date,check_date:opening_hours,fixme,delivery,payment:bancomat,payment:cash,payment:coins,addr:unit,payment,toilets,payment:maestro,contact:facebook,payment:pos,indoor_seating,smoking,opening_hours:signed,contact:instagram,air_conditioning,craft,fax,phone:delivery,payment:cards,contact:whatsapp,opening_hours:phone,payment:online_payment,communication:mobile_phone,phone:mobile,kids_area,contact:website,internet_access,second_hand,addr:state,branch,brand,butcher,diet:halal,addr:province,takeaway,contact:email,bar,payment:bancoposta,payment:postepay,mobile,building:levels,roof:levels,wheelchair:description,addr:interpolation,internet_access:fee,addr:hamlet,contact:twitter,contact:fax,roof:shape,layer,survey:date
80,POINT (12.3234512 45.4420889),Dal Mas,confectionery,,"Mo-Fr 06:30-19:30; Sa,Su 07:00-19:30",no,,,Cioccolateria Dal Mas,149b,Rio Terà Lista di Spagna,+39041715101,,,,,,"Venezia, Veneto, Italy",30121,pasticceriadorz@gmail.com,Cannaregio,,,,https://www.dalmaspasticceria.it/,,,,,,,,,,,,,,,,,,,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,POINT (12.3251362 45.4266573),Ortofrutta Vianello,greengrocer,,"Mo-Sa 6:30-20:30 ,Su 9:00-17:00",,,,,601,Fondamenta Santa Eufemia,+39 041 522 7303,,,,,,"Venezia, Veneto, Italy",30133,,Giudecca,,,https://it-it.facebook.com/Ortofrutta-Vianello-470136129838436/,https://fruttivendolo-grocery-store.business.site/,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,POINT (12.2910148 45.485983),Panificio,bakery,,,,,,,84,Via Orlanda,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,POINT (12.2881788 45.495605),Azienda Vinicola Mazzariol,wine,,,,,,,144,Via Gobbi,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,POINT (12.2885953 45.4955481),Panificio Bardi,bakery,,,,,,,153,Via Gobbi,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,POINT (12.2806023 45.5039644),Enobottega,wine,,,,,,,388a,Via San Donà,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,POINT (12.2795506 45.5036016),,greengrocer,,,,,,,366a,Via San Donà,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,POINT (12.2815206 45.5042192),,bakery,,,,,,,402,Via San Donà,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,POINT (12.2757255 45.5027837),,greengrocer,,,,,,,309b,Via San Donà,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,POINT (12.2757802 45.5039036),Pasticceria Dolce Paradiso,confectionery,,"Mo 07:00-12:30; Tu-Sa 07:00-12:30, 15:00-19:00; Su 08:00-12:30",,,,,1/B,Via Monte Bianco,,,,,,,"Venezia, Veneto, Italy",30121-30176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,POINT (12.2810882 45.5045261),Pasticceria Gran Doge,pastry,,Mo-Su 09:00-17:00,,,,,36,Piazza Angelo Pastrello,+39 041 630232,,,,,,"Venezia, Veneto, Italy",30173,luin67@gmail.com,,,Favaro Veneto,https://m.facebook.com/Pasticceria-invaso-Luca-224397337718256/,https://lucas6898.wixsite.com/website,,"""Attivazione servizio a domicilio di generi di prima necessità per COVID-19""",,,,,,,,Invaso Luca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,POINT (12.2829996 45.511099),,butcher,,,,,,,118,Via Altinia,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,POINT (12.3293162 45.4306773),Caffè Poggi dal 1919,wine,,Tu-Sa 08:00-19:30; Su 09:00-19:30,,,,,855,,,,,,,,"Venezia, Veneto, Italy",30123,,Dorsoduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,POINT (12.3272367 45.4319167),Sanguches ricos,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,POINT (12.4177471 45.4855103),Carmelina Palmisano,bakery,2024-09-30,Mo-Su 07:00-19:00,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,POINT (12.3378324 45.4352317),Rosa Salva,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,https://www.rosasalva.it/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,POINT (12.3370111 45.4367697),Panificio A. Rosa salva,bakery,,,limited,,,,5020,,,,,,,,"Venezia, Veneto, Italy",30124,,San Marco,,Venezia,,,,,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,POINT (12.341785 45.4345242),Venice Bakery,bakery,,,,,,,4537,Calle de le Rasse,,,,,,,"Venezia, Veneto, Italy",30122,,Castello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,POINT (12.2516885 45.5029304),Agenzia Vini Longato,beverages,,,,,,,,,+39 041 5352213,,,,,,"Venezia, Veneto, Italy",,,,,,,http://www.longatovini.it,Agency Vini Longato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,POINT (12.3396916 45.4383087),,confectionery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,fix position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,POINT (12.3231216 45.4364794),cantina Arnaldi,alcohol,,,yes,,,,,Salizada San Pantalon,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,POINT (12.2607861 45.4938385),Cantina dai Bari,wine,,,,,,,94a,Via Bissuola,+39 041 5342132,,,,,,"Venezia, Veneto, Italy",30173,mauro@cantinadaibari.it,,,,,http://www.cantinadaibari.it,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,POINT (12.260299 45.4936724),Ortofrutta Massimo e Giorgia,greengrocer,,"Mo-Sa 08:00-13:00,16:30-19:30; We 08:00-13:00",,,,,88d,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,brumax61@hotmail.it,,,Venezia,,,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,POINT (12.2518856 45.4952537),Pasticceria Dolci & Delizie,pastry,,,,,,,24,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,POINT (12.2546067 45.4943983),Frutta e Verdura Sergio e Ketty,greengrocer,,"Mo-Tu 07:30-13:00,16:00-19:30; We 07:30-13:00; Th-Sa 07:30-13:00,16:00-19:30; PH off",yes,,,,46b,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,Mestre,,,,,,,,+39 339 4658008,,,,,,+39 041 5343001,Negozio di frutta e verdura,,,,,,,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,POINT (12.2550771 45.494424),,seafood,,,,,,,81e,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,POINT (12.23175 45.4924714),Pasticceria Miranese,pastry,,"07:00-13:00,15:30-20:00",,,,,38,Via Miranese,+39 041 802 0940;+39 328 1923032,,,,,,"Venezia, Veneto, Italy",30171,pasticceria.miranese@gmail.com,,,Mestre,https://www.facebook.com/pasticceria.miranese/,,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,,,,,,,,,,,,,,,,a,credit_cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,POINT (12.3385279 45.4381815),Vizio Virtù Cioccolateria,confectionery,,Mo-Su 10:00-19:00,yes,,,,5988,,,,,0,,,"Venezia, Veneto, Italy",30122,info@viziovirtu.com,Castello,,,,https://www.viziovirtu.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,POINT (12.3357863 45.4442307),Laguna Fiorita Onlus,greengrocer,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,POINT (12.2551056 45.5037051),Macelleria F. & C. di Fabio e Cristina,butcher,,,,,,,155,Via Ca' Rossa,,,,,,,"Venezia, Veneto, Italy",30174,,,,Carpenedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,POINT (12.3449129 45.4384551),Panificio Semenzato,bakery,2022-11-13,"Mo-Sa 07:30-13:30,16:30-19:30; PH closed",limited,,,,6481,,+39 041 241 1270,,,0,,,"Venezia, Veneto, Italy",30122,,Castello,,,,,,,,,survey,,,,,Semenzato Mauro & C. Snc.,IT02508280274,,,,,,yes,yes,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,POINT (12.2633634 45.4943173),Pasticceria Regina,pastry,,"Mo-Fr 06:00-20:00; Sa 06:00-13:00,15:30-20:00; Su 06:00-13:00,16:00-20:00",,,,,108,Via Bissuola,+39 041 536 9458,,,,,,"Venezia, Veneto, Italy",30173,,,,,https://www.facebook.com/PasticceriaReginaMestre/,,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,POINT (12.2633074 45.4943432),Panetteria da Sonia,bakery,,,,,,,106,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,POINT (12.2514565 45.4957255),,greengrocer,,,,,,,1d,Via Amerigo Vespucci,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,POINT (12.2549805 45.494276),Pasticceria Nobile,pastry,,"Mo-Sa 8:30-13:00, 16:00-20:00",,,,,46h,Via Bissuola,+39 041 5341911,,,,,,"Venezia, Veneto, Italy",30175,,,,Mestre,,,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://m.facebook.com/PasticceriaNobileMestre/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,POINT (12.2487585 45.4955115),,greengrocer,,,,,,,14c,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,POINT (12.2484179 45.4955781),,butcher,,,,,,,10,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,POINT (12.2494166 45.4953243),Pasticceria Loredana,pastry,,,,,,,14h,Via Bissuola,+39 041 5316001,,,,,,"Venezia, Veneto, Italy",30173,info@pasticcerialoredana.it,,,,,http://www.pasticcerialoredana.it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,POINT (12.252304 45.4951204),,greengrocer,,,,,,,30c,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,POINT (12.2520473 45.4951696),Panificio da Luca,bakery,,,,,,,30,Via Bissuola,+39 041 5349492,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,POINT (12.2563271 45.485608),,greengrocer,,,,,,,120,Viale San Marco,,,,,,,"Venezia, Veneto, Italy",30174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,POINT (12.3396801 45.5056097),Relay,beverages,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,POINT (12.2640644 45.4941966),,seafood,,,,,,,123c,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,POINT (12.2613096 45.4940212),,bakery,,,,,,,94g,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,POINT (12.3473465 45.4373042),Al Canton del Vin,wine,,"Mo-Sa 09:00-13:00,17:00-19:30",,,,,2907,Salizada San Francesco,+39 041 2770449,,,,,,"Venezia, Veneto, Italy",30122,manuel.cas@hotmail.it,,,Venezia,,,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,survey,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,POINT (12.3473195 45.4368573),Panificio Padoan,bakery,,,,,,,3181,,,,,,,,"Venezia, Veneto, Italy",30122,,Castello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,POINT (12.3384964 45.435763),Ameretti,beverages,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,POINT (12.3398519 45.4369414),,wine,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,POINT (12.2561282 45.5037504),La Frutteria,greengrocer,,,,,,,139,Via San Donà,+39 3396385568,,,,,,"Venezia, Veneto, Italy",30174,silvia2federica@gmail.com,,,Carpenedo,,,,"""Attivazione servizio a domicilio di generi di prima necessità per COVID-19""",,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,POINT (12.2553214 45.4941656),Panificio Maritan,bakery,,,,,,,46m,Via Bissuola,,,,,,,"Venezia, Veneto, Italy",30173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,POINT (12.3245674 45.4361052),malvasia all’adriatico mar,alcohol,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,POINT (12.3382324 45.4375172),Farini Venezia Srl,bakery,,Su-Th 07:00-21:00; Fr-Sa 07:00-22:00,,,,,5603,,+39 0412411899,,no,,fast_food,,"Venezia, Veneto, Italy",30122,,Castello,,,,,,,,italian_pizza,,,,,,,,,,,,,,,,2022-12-21,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,POINT (12.3268545 45.4436643),Mercato di Rio Terà San Leonardo,greengrocer,,,yes,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,POINT (12.3377642 45.4416865),Maccanin Marco Ortofrutta,greengrocer,,,,,,,4784d,,,,,,,,"Venezia, Veneto, Italy",30121,,Cannaregio,,Venezia,,,,,,,,,,,,,,,,,,,,,,2022-10-03,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,POINT (12.3439744 45.4385404),,greengrocer,,,,,,,6441,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,POINT (12.353857 45.4572604),Macelleria da Sergio,butcher,2024-03-14,"Mo-Sa 07:00-13:00,16:00-19:30",,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,POINT (12.3341314 45.439234),Venchi,confectionery,,,,,,,370,Ruga dei Spezieri,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,POINT (12.3324854 45.4325578),Poli Distillerie,alcohol,,"PH,Mo-Su 10:00-19:00",,,,,2511/b,Campiello de la Feltrina,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,POINT (12.3262653 45.4264015),Pasticceria Giudechina,pastry,,Tu-Sa 08:30-18:00; Su 08:30-13:00,,,,,,,,,,,,,"Venezia, Veneto, Italy",30133,,Giudecca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,POINT (12.3255821 45.4265571),,seafood,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",30133,,Giudecca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,POINT (12.3240694 45.5014843),Panificio,bakery,,,,,,,226,Via Orlanda,,,,,,,"Venezia, Veneto, Italy",30173,,,,Tessera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,POINT (12.3342915 45.4390717),Drogheria Màscari,confectionery,,"Mo-Tu, Th-Sa 08:00-13:00; 16:00-19:30; We 08:00-13:00",,,,,381,S. Polo,+390415229762,,,,,,"Venezia, Veneto, Italy",30125,,,,,,http://www.imascari.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drogheria_mascari_venezia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,POINT (12.3370465 45.4389052),Nino,confectionery,,,no,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,POINT (12.3386039 45.4356101),,alcohol,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,POINT (12.3380787 45.4375527),Ci gusta,confectionery,,Mo-Su 10:00-20:00,yes,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,POINT (12.3370576 45.4388537),,wine,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,POINT (12.3370506 45.4388058),Nino,confectionery,,,no,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,POINT (12.3232766 45.4419892),Dal Mas,pastry,,"Mo-Fr 06:30-19:30; Sa, Su 07:00-19:30",limited,,,,149-150/A,Rio Terà Lista de Spagna,+39041715101,,,,,,"Venezia, Veneto, Italy",,,,,,,https://www.dalmaspasticceria.it/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,POINT (12.3383294 45.4374488),Captain Candy,confectionery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,POINT (12.3396393 45.4365029),Pasta & Pasta,pasta,,Mo-Su 11:00-22:00,,,,,5374,Calle al Ponte de la Guerra,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,Fresh Pasta to go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,POINT (12.2119592 45.5120429),Pasticceria Prosdocimi,pastry,,,,,,,99/f,Via Castellana,,,,,,,"Venezia, Veneto, Italy",30174,,,,Zelarino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,POINT (12.3376189 45.4414238),Da Tellero,wine,,"Mo-Sa 09:30-13:00, 16:30-19:00",,,,,4657,Rio Terà Santi Apostoli,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,POINT (12.2522222 45.4974232),,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,POINT (12.2491577 45.496799),Pasticceria Tortato,pastry,,,,,,,6/d,Via Ca' Rossa,+39 041 534 4277,,,,,,"Venezia, Veneto, Italy",30173,,,,Venezia,,,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,POINT (12.3384099 45.4380695),Pasticceria Ponte delle Paste,pastry,,Mo-Su 07:00-19:30,yes,,,,5991,Ponte del Pistor,+39 041 2410173,,,,,,"Venezia, Veneto, Italy",,,,,Venezia,https://www.facebook.com/pasticceriapontedellepastevenezia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,POINT (12.3618057 45.4263064),,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,POINT (12.3308384 45.4394753),Panificio Albonico,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,POINT (12.3242607 45.4334341),Majer,bakery,,Mo-Sa 07:00-20:00; Su 08:00-20:00,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,POINT (12.4162878 45.4862445),Panificio Pasticceria Garbo,confectionery,,,,,,,336,Fondamenta San Mauro,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-20,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
